time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2002-01-01,3,15.4,10.5,12.2,11.9,7.5,9.2,2002-01-01 09:00,2002-01-01 18:42,0,0,0,0,25.2,41.8,76,6.89,1.27
2002-01-02,51,16.2,9.8,12.2,14.1,6.7,9.4,2002-01-02 09:00,2002-01-02 18:42,0.6,0.6,0,2,19.1,34.6,128,6.93,1.65
2002-01-03,51,17.2,8.4,12,15.1,5.2,9.9,2002-01-03 09:00,2002-01-03 18:43,0.1,0.1,0,1,13.7,24.1,203,10.43,1.87
2002-01-04,61,13.6,7.8,10.2,12.9,6.4,9.1,2002-01-04 09:00,2002-01-04 18:44,6,6,0,15,12.3,24.8,214,8.45,01.02
2002-01-05,51,13.8,7.9,10.6,11.7,5.9,8.4,2002-01-05 09:00,2002-01-05 18:45,0.3,0.3,0,3,17.1,31,83,07.05,1.18
2002-01-06,3,13.4,7.5,9.9,9.8,4.8,7,2002-01-06 09:00,2002-01-06 18:46,0,0,0,0,19.2,35.3,84,9.19,1.53
2002-01-07,0,13.6,3.6,8,11.3,0.4,5,2002-01-07 09:00,2002-01-07 18:47,0,0,0,0,11.5,20.9,132,11.29,1.66
2002-01-08,1,14,3.6,7.8,11.7,-0.4,4.4,2002-01-08 09:00,2002-01-08 18:47,0,0,0,0,13.4,24.1,136,11.15,1.84
2002-01-09,2,15.7,4.6,9,13.6,1,6.1,2002-01-09 09:00,2002-01-09 18:48,0,0,0,0,13.1,22,131,10.45,1.74
2002-01-10,0,15.2,5.1,9.4,13.3,1.9,6.9,2002-01-10 09:00,2002-01-10 18:49,0,0,0,0,10.8,20.9,158,11.16,1.65
2002-01-11,3,14.3,3.7,8.5,12.7,1.4,6.8,2002-01-11 09:00,2002-01-11 18:50,0,0,0,0,9.7,23,231,10.4,1.39
2002-01-12,2,13.1,5.8,9,11.4,3.8,7.1,2002-01-12 09:00,2002-01-12 18:51,0,0,0,0,8.2,17.6,158,9.48,1.29
2002-01-13,3,13.8,3.5,7.8,12,1,5.7,2002-01-13 08:59,2002-01-13 18:52,0,0,0,0,9.4,18.4,216,11.01,1.43
2002-01-14,63,12.3,7.5,9.9,9.9,5.3,7.5,2002-01-14 08:59,2002-01-14 18:53,19.3,19.3,0,18,23.2,45.4,281,6.44,0.91
2002-01-15,53,13.2,6.7,9.7,12.3,4.7,8.5,2002-01-15 08:59,2002-01-15 18:54,3.4,3.4,0,12,9.4,25.2,248,8.45,01.08
2002-01-16,55,11.9,6.2,9.3,10.3,3.9,7.1,2002-01-16 08:58,2002-01-16 18:55,7.5,7.5,0,15,16.6,40,278,8.28,0.99
2002-01-17,53,11.6,4.8,8,10,2.2,6.2,2002-01-17 08:58,2002-01-17 18:56,4.7,4.7,0,12,11.8,26.3,314,08.09,01.03
2002-01-18,3,12.7,2.8,7.3,11,-0.1,4.9,2002-01-18 08:58,2002-01-18 18:57,0,0,0,0,8.4,15.5,166,9.23,1.26
2002-01-19,1,13.7,2.8,7.9,11.3,0.2,5.8,2002-01-19 08:57,2002-01-19 18:58,0,0,0,0,8.7,17.6,228,11.67,1.58
2002-01-20,2,13.6,3.6,8,12.2,1.3,5.9,2002-01-20 08:57,2002-01-20 18:59,0,0,0,0,9.9,18.7,145,11.34,1.47
2002-01-21,0,17.4,3.6,8.9,16.1,0.3,6.5,2002-01-21 08:56,2002-01-21 19:00,0,0,0,0,13.6,23,161,12.7,1.87
2002-01-22,51,16.5,7.6,11.9,11.9,3.5,8.1,2002-01-22 08:56,2002-01-22 19:01,1.1,1.1,0,6,33,56.5,235,7.51,2.14
2002-01-23,51,20.2,9.3,13.9,18.9,7.4,12.2,2002-01-23 08:55,2002-01-23 19:03,0.5,0.5,0,2,14.1,24.1,216,12.33,02.07
2002-01-24,53,15.4,12,13.4,11.2,7.7,9.4,2002-01-24 08:55,2002-01-24 19:04,2.5,2.5,0,5,31.4,60.5,262,11.02,2.45
2002-01-25,1,15.1,7.5,11.5,12.3,5.9,9.1,2002-01-25 08:54,2002-01-25 19:05,0,0,0,0,19.5,35.3,252,12.25,1.78
2002-01-26,1,15.1,6.1,9.8,12.4,4,7.7,2002-01-26 08:54,2002-01-26 19:06,0,0,0,0,14.5,28.1,239,12.56,1.73
2002-01-27,0,16.7,5,10.1,15.9,2.9,8.7,2002-01-27 08:53,2002-01-27 19:07,0,0,0,0,6.7,15.5,207,12.97,1.84
2002-01-28,2,17.7,4.7,10.2,16.8,2.4,8.6,2002-01-28 08:52,2002-01-28 19:08,0,0,0,0,11,18.7,106,13.09,1.93
2002-01-29,0,17.4,3.8,9.9,16.5,1.5,8.2,2002-01-29 08:52,2002-01-29 19:09,0,0,0,0,11.8,23.8,89,13.43,1.92
2002-01-30,1,19.8,5.4,11.1,19.2,2.5,9.6,2002-01-30 08:51,2002-01-30 19:10,0,0,0,0,8.4,18,134,13.78,2.13
2002-01-31,1,16.6,5.6,10.6,13.9,3,8.5,2002-01-31 08:50,2002-01-31 19:11,0,0,0,0,16.8,33.1,255,12.57,1.88
2002-02-01,1,16.6,7.4,11.5,15.4,5.5,10,2002-02-01 08:49,2002-02-01 19:12,0,0,0,0,10.2,20.5,217,13.54,1.96
2002-02-02,1,19.5,5.6,11.5,18.3,2.7,9.5,2002-02-02 08:48,2002-02-02 19:13,0,0,0,0,13.3,22,110,14.24,2.31
2002-02-03,1,18.2,7,11.4,15.9,3.8,9.1,2002-02-03 08:48,2002-02-03 19:14,0,0,0,0,13.5,22.7,218,12.8,2.2
2002-02-04,51,14.8,8.5,11.4,12.5,7,9.9,2002-02-04 08:47,2002-02-04 19:15,0.1,0.1,0,1,15.3,29.2,278,11.57,1.58
2002-02-05,2,16.4,6.8,10.9,14.4,4.3,9,2002-02-05 08:46,2002-02-05 19:16,0,0,0,0,13.2,25.2,216,14.02,02.04
2002-02-06,55,13.6,9.2,12.3,8.9,6.5,7.6,2002-02-06 08:45,2002-02-06 19:18,3.5,3.5,0,6,33.8,64.8,271,12.3,2.75
2002-02-07,53,12.4,9,10.8,9.6,5.2,7,2002-02-07 08:44,2002-02-07 19:19,3.7,3.7,0,10,28.1,55.1,303,10.91,2.34
2002-02-08,51,14.1,7.9,10.7,11.6,4.9,8.3,2002-02-08 08:43,2002-02-08 19:20,1,1,0,6,14.7,25.9,359,10.47,1.73
